,Meat,Seafood,Mexican,Italian,Pork,Korean,Asian,Fish,Starch,Ground_meat
A Scotsmans Shepherd Pie,0.5395721221814952,0.25359467928623475,0.0024394719270431483,0.18975653311895516,0.0024393964243360922,0.0024392870277857087,0.0024397593838074785,0.002439665349827008,0.0024393807983143553,0.0024397045022010147
A Simply Perfect Roast Turkey,0.5280268010113707,0.39923994250158673,0.009091470577062001,0.009091960082135735,0.009091886304781164,0.00909104730762729,0.009091510697784456,0.009091921968296631,0.009092280247055723,0.00909117930229958
Absolute Best Liver And Onions,0.7289029669985962,0.0076944210642478725,0.007693927344128169,0.007693055208499505,0.007693126610736642,0.007692620116768974,0.007694455953822701,0.2095461995163548,0.007694944208596818,0.007694282978248352
Accidental Fish,0.00526404068548165,0.005264410056772925,0.005263508324495886,0.005264298573458282,0.0052635705250557215,0.005265104275037574,0.005264985435886184,0.5693165796518139,0.005263773139622946,0.3885697293323748
Actually Delicious Turkey Burgers,0.0090940805565616,0.9181641343119626,0.00909201294786361,0.009093397158462546,0.009092484605270144,0.009092380834014147,0.009092643083701595,0.009093237458283719,0.009092350917780935,0.009093278126099127
Alaska Salmon Bake With Pecan Crunch Coating,0.008334389758571191,0.5819996516227084,0.008333972601555786,0.008334010106360711,0.35132259857700243,0.008334974581462153,0.008334970811857759,0.008336643640800227,0.008333995800557782,0.008334792499123524
All American Burger Dog,0.283555165101861,0.16219707039557957,0.007143544072354808,0.007145344540076303,0.007144066491641069,0.007143896814728861,0.007143791082030168,0.007144699533932756,0.00714403879336459,0.5042383831744309
All American Roast Beef,0.9099755040047943,0.01000177169388259,0.010003751124593835,0.010001879925165892,0.01000680953440603,0.010001981933740444,0.010002476951447726,0.010002567768840445,0.01000083637544245,0.01000242068768634
Alla Checca,0.009092286571259892,0.009093112754436642,0.009091268795802332,0.7060409172019246,0.009091848659434545,0.009091832007893848,0.009091801361381753,0.22122300574779402,0.00909256489255338,0.009091362007519123
Almond Crusted Tilapia,0.00526685569502059,0.9526230897535687,0.005263817338230264,0.005264444005281837,0.00526355439849966,0.005263314699859489,0.005263504836799937,0.005263937199540673,0.005263874459633331,0.0052636076135656375
Alysias Basic Meat Lasagna,0.0035719447569565253,0.003572252552794667,0.003571797300983078,0.9678513078204818,0.003571786581936375,0.0035719641754426313,0.0035719820147475214,0.003572011685620172,0.003572415907951656,0.0035725372030855165
Amazing Pork Chops In Cream Sauce,0.009093173167718046,0.7753943047818569,0.009091750199298476,0.009092156870039218,0.1518681629546214,0.009091930787369537,0.009092653143385147,0.009092679966506173,0.009091717636952434,0.009091470492252757
Amazing Ribs,0.4899445940945063,0.006667346193781487,0.006667513394982547,0.006667231270884358,0.303496112209246,0.0066677105314819785,0.15988702189470283,0.006667971094345048,0.006667440256211159,0.006667059059858363
Amazing Spicy Grilled Shrimp,0.004348795023070543,0.2523631269538875,0.004348267291936468,0.004348426430674509,0.0043487282302423795,0.31330049434179047,0.18164127564155544,0.22660337831111602,0.004348589038008172,0.004348918737718381
American Lasagna,0.004000516685845703,0.004000633804287722,0.0040001857198920954,0.8534529140233116,0.004000880877762618,0.004000985751803014,0.004001364700320322,0.0040004088742760695,0.004000536966855346,0.11454157259564539
Apple And Brown Sugar Corned Beef,0.5282751490406612,0.005556015539351928,0.0055564426701683765,0.005555857920410175,0.23312554737936528,0.0055559906317259765,0.19970475886785388,0.005557210527629854,0.005555905841550526,0.0055571215812825194
Apple Cider Sauce And Pork Loin Chops,0.005001465225582657,0.005002215447425955,0.005000343500417156,0.005001394588324694,0.9549875747301878,0.005001041635010474,0.005000711649647588,0.005002747247415201,0.005001693034064656,0.005000812941924079
Apple Glazed Pork Tenderloin,0.005001678161741327,0.005001704075391613,0.005000595731577279,0.33120117562276413,0.6287892227383919,0.005001262817048958,0.005000891149260645,0.005001998519158452,0.005000958742797684,0.00500051244186816
Apple Sage Pork Chops,0.005558103094986178,0.005557436449390382,0.005558934867956202,0.005556311411637411,0.5786717848943562,0.005556315665003983,0.0055569320640202575,0.37686923839523273,0.005558410962871009,0.005556532194545793
Apricot Brown Sugar Ham,0.011111617170780472,0.011111265869748404,0.011112001160353635,0.36097784024590557,0.011113968185665036,0.011111817341666044,0.01111353398443023,0.011111539307925094,0.011111599456568335,0.5501248172769572
Artichoke Spinach Lasagna,0.12891407635714344,0.2008816438341653,0.00434925782073982,0.6397644802006485,0.004348584867881908,0.004348633037368532,0.004348763403389466,0.004348233392994976,0.004348221492035683,0.004348105593632548
