title,calorie,protein_g,carb_g,fat_g,protein_ratio,carb_ratio,fat_ratio,servings,ratings,cook_time,link
Baked Haddock,325.0,27.7,17.0,15.7,0.34,0.22999999999999998,0.43,4.0,4.59,25,https://www.allrecipes.com/recipe/100195/baked-haddock/
Beef Bulgogi,232.0,16.2,12.4,13.2,0.28,0.20999999999999996,0.51,4.0,4.79,75,https://www.allrecipes.com/recipe/100606/beef-bulgogi/
Apricot Brown Sugar Ham,801.0,56.1,14.4,56.2,0.28,0.08999999999999997,0.63,15.0,4.72,120,https://www.allrecipes.com/recipe/102159/apricot-brown-sugar-ham/
Taco Stuffed Shells,361.0,19.8,30.4,17.6,0.22,0.33999999999999997,0.44,8.0,4.55,80,https://www.allrecipes.com/recipe/103503/taco-stuffed-shells/
Blackened Tuna Steaks With Mango Salsa,458.0,42.1,18.3,24.7,0.37,0.14,0.49,4.0,4.85,235,https://www.allrecipes.com/recipe/103535/blackened-tuna-steaks-with-mango-salsa/
Grilled Halibut With Cilantro Garlic Butter,276.0,35.4,3.0,13.1,0.51,0.06000000000000005,0.43,4.0,4.53,33,https://www.allrecipes.com/recipe/103971/grilled-halibut-with-cilantro-garlic-butter/
Broiled Grouper Parmesan,430.0,48.1,1.4,24.9,0.45,0.030000000000000027,0.52,4.0,4.67,16,https://www.allrecipes.com/recipe/103991/broiled-grouper-parmesan/
Barbequed Steelhead Trout,285.0,28.8,4.3,16.2,0.4,0.08999999999999997,0.51,6.0,4.58,20,https://www.allrecipes.com/recipe/104621/barbequed-steelhead-trout/
Coconut Tilapia With Apricot Dipping Sauce,650.0,28.4,54.3,36.1,0.17,0.32999999999999996,0.5,4.0,4.58,30,https://www.allrecipes.com/recipe/104789/coconut-tilapia-with-apricot-dipping-sauce/
Lamb Tagine,423.0,35.8,23.6,20.5,0.34,0.21999999999999997,0.44,4.0,4.67,645,https://www.allrecipes.com/recipe/105044/lamb-tagine/
Kofta Kebabs,35.0,2.9,0.6,2.3,0.33,0.08000000000000007,0.59,28.0,4.7,80,https://www.allrecipes.com/recipe/106030/kofta-kebabs/
Grilled Beef Tenderloin With Herb Garlic Pepper Coating,364.0,26.5,1.9,27.3,0.29,0.030000000000000027,0.68,13.0,4.89,85,https://www.allrecipes.com/recipe/107086/grilled-beef-tenderloin-with-herb-garlic-pepper-coating/
Cedar Plank Grilled Salmon With Garlic Lemon And Dill,366.0,29.2,1.1,26.4,0.32,0.030000000000000027,0.65,8.0,4.69,65,https://www.allrecipes.com/recipe/107087/cedar-plank-grilled-salmon-with-garlic-lemon-and-dill/
Awesome Spicy Beef Kabobs Or Haitian Voodoo Sticks,327.0,29.3,2.5,21.6,0.36,0.050000000000000044,0.59,4.0,4.74,152,https://www.allrecipes.com/recipe/107915/awesome-spicy-beef-kabobs-or-haitian-voodoo-sticks/
Cedar Planked Salmon,678.0,61.3,1.7,45.8,0.36,0.030000000000000027,0.61,6.0,4.84,35,https://www.allrecipes.com/recipe/109297/cedar-planked-salmon/
Chipotle Shrimp Tacos,377.0,41.9,26.2,11.1,0.44,0.30000000000000004,0.26,6.0,4.54,30,https://www.allrecipes.com/recipe/109777/chipotle-shrimp-tacos/
Jalapeno Steak,186.0,19.1,3.1,10.5,0.41,0.08000000000000007,0.51,6.0,4.51,495,https://www.allrecipes.com/recipe/109782/jalapeno-steak/
Melt In Your Mouth Broiled Salmon,531.0,36.4,4.0,39.7,0.27,0.05999999999999994,0.67,4.0,4.54,45,https://www.allrecipes.com/recipe/110447/melt-in-your-mouth-broiled-salmon/
Venison Bacon Burgers,481.0,39.2,25.4,23.7,0.33,0.22999999999999998,0.44,6.0,4.8,60,https://www.allrecipes.com/recipe/111933/venison-bacon-burgers/
Shrimp Linguine,517.0,32.5,42.6,24.6,0.25,0.32000000000000006,0.43,8.0,4.6,0,https://www.allrecipes.com/recipe/11671/shrimp-linguine/
Linguine With Scampi,701.0,30.4,63.0,37.5,0.17,0.35,0.48,4.0,4.53,35,https://www.allrecipes.com/recipe/11672/linguine-with-scampi/
Cajun Seafood Pasta,695.0,31.5,62.2,36.7,0.18,0.3400000000000001,0.48,6.0,4.65,0,https://www.allrecipes.com/recipe/11688/cajun-seafood-pasta/
Alla Checca,610.0,15.5,69.4,30.7,0.1,0.44999999999999996,0.45,4.0,4.54,140,https://www.allrecipes.com/recipe/11692/alla-checca/
Puttanesca I,490.0,9.3,38.7,34.0,0.08,0.30000000000000004,0.62,4.0,4.6,40,https://www.allrecipes.com/recipe/11693/puttanesca-i/
