title,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
A Scotsmans Shepherd Pie,0.0,0.13916730880737305,0.85097736120224,0.0,0.0,0.0
A Simply Perfect Roast Turkey,0.0,0.0,0.0,0.9528205394744873,0.0,0.0
Absolute Best Liver And Onions,0.0,0.0,0.9603028297424316,0.0,0.0,0.0
Accidental Fish,0.0,0.7676549553871155,0.0,0.0,0.0,0.21083058416843414
Actually Delicious Turkey Burgers,0.0,0.0,0.9528165459632874,0.0,0.0,0.0
Alaska Salmon Bake With Pecan Crunch Coating,0.0,0.0,0.0,0.9568849205970764,0.0,0.0
All American Burger Dog,0.0,0.0,0.47460973262786865,0.0,0.0,0.4959714114665985
All American Roast Beef,0.010418838821351528,0.010419140569865704,0.010419941507279873,0.010420896112918854,0.010418349876999855,0.9479028582572937
Alla Checca,0.4476507306098938,0.5146087408065796,0.0,0.0,0.0,0.0
Almond Crusted Tilapia,0.36812180280685425,0.6103653907775879,0.0,0.0,0.0,0.0
Alysias Basic Meat Lasagna,0.9811986684799194,0.0,0.0,0.0,0.0,0.0
Amazing Pork Chops In Cream Sauce,0.0,0.6456014513969421,0.0,0.3166542649269104,0.0,0.0
Amazing Ribs,0.0,0.0,0.0,0.0,0.0,0.9632229804992676
Amazing Spicy Grilled Shrimp,0.0,0.41903290152549744,0.0,0.0,0.0,0.5632652640342712
American Lasagna,0.9788084030151367,0.0,0.0,0.0,0.0,0.0
Apple And Brown Sugar Corned Beef,0.0,0.0,0.0,0.0,0.5336771011352539,0.4422217905521393
Apple Cider Sauce And Pork Loin Chops,0.0,0.0,0.0,0.8140761256217957,0.0,0.16441236436367035
Apple Glazed Pork Tenderloin,0.0,0.0,0.0,0.9744818210601807,0.0,0.0
Apple Sage Pork Chops,0.0,0.0,0.0,0.7648680210113525,0.0,0.2124004364013672
Apricot Brown Sugar Ham,0.01163121685385704,0.011630523018538952,0.011631500907242298,0.01163260918110609,0.011632139794528484,0.9418419599533081
Artichoke Spinach Lasagna,0.8396701812744141,0.0,0.0,0.14180701971054077,0.0,0.0
Asian Beef Skewers,0.0,0.0,0.0,0.0,0.0,0.9679454565048218
Asian Pork Tenderloin,0.0,0.0,0.0,0.0,0.0,0.9744856357574463
Asian Salmon,0.0,0.11181855201721191,0.0,0.0,0.0,0.8696585297584534
Authentic Mexican Chili Rellenos,0.0,0.0,0.7548167705535889,0.22244711220264435,0.0,0.0
Awesome Grilled Cheese Sandwiches,0.021744370460510254,0.02174135483801365,0.8912929892539978,0.02174156717956066,0.021739883348345757,0.021739812567830086
Awesome Korean Steak,0.0,0.0,0.0,0.0,0.0,0.971584141254425
Awesome Red Wine Pot Roast,0.0,0.0,0.0,0.976842999458313,0.0,0.0
Awesome Slow Cooker Pot Roast,0.010418768040835857,0.010418281890451908,0.7150511741638184,0.01041942834854126,0.24327363073825836,0.01041871402412653
