Topics,Alpha,Beta,Coherence
2,0.01,0.01,0.3546778587947548
2,0.01,0.1,0.3469268533569754
2,0.01,1,0.3509902229171802
2,0.01,symmetric,0.3463642682795959
2,0.1,0.01,0.3469268533569754
2,0.1,0.1,0.33472654219573206
2,0.1,1,0.34318069230335707
2,0.1,symmetric,0.29844009973106744
2,1,0.01,0.3770316310910906
2,1,0.1,0.3671859771195768
2,1,1,0.36902325914619294
2,1,symmetric,0.36853298935694623
2,symmetric,0.01,0.3551518270831566
2,symmetric,0.1,0.3452106156628644
2,symmetric,1,0.3540989710631595
2,symmetric,symmetric,0.3540989710631595
2,asymmetric,0.01,0.3514636824204105
2,0.01,0.01,0.2987289695810526
2,0.01,0.1,0.3384781984834725
2,0.01,1,0.3509902229171802
2,0.01,symmetric,0.3463642682795959
2,0.1,0.01,0.3384781984834725
2,0.1,0.1,0.3387538846563859
2,0.1,1,0.33374771575470563
2,0.1,symmetric,0.2994069236141143
2,1,0.01,0.3852694224537585
2,1,0.1,0.3671859771195769
2,1,1,0.3679956169070612
2,1,symmetric,0.36853298935694623
2,symmetric,0.01,0.3511887377041062
2,symmetric,0.1,0.35730736096763777
2,symmetric,1,0.3540989710631595
2,symmetric,symmetric,0.3540989710631595
2,asymmetric,0.01,0.3514636824204105
2,asymmetric,0.1,0.3672426157087465
2,asymmetric,1,0.35632617059134375
2,asymmetric,symmetric,0.34008492377804644
3,0.01,0.01,0.41301206171236077
3,0.01,0.1,0.40957976386183886
3,0.01,1,0.39400519463475625
3,0.01,symmetric,0.4054009176877564
3,0.1,0.01,0.4125923570519334
3,0.1,0.1,0.40957976386183886
3,0.1,1,0.408303629803803
3,0.1,symmetric,0.4054009176877564
3,1,0.01,0.3568519662963568
3,1,0.1,0.3419626797455038
3,1,1,0.3854415593769483
3,1,symmetric,0.3514181757802824
3,symmetric,0.01,0.3554266622900253
3,symmetric,0.1,0.35233660860091726
3,symmetric,1,0.3428882226881173
3,symmetric,symmetric,0.31739085616492557
3,asymmetric,0.01,0.36278734173880994
3,asymmetric,0.1,0.365314199827512
3,asymmetric,1,0.35092405762833007
3,asymmetric,symmetric,0.38107491006568894
4,0.01,0.01,0.42108334188302565
4,0.01,0.1,0.42463035902218316
4,0.01,1,0.42249768115319997
4,0.01,symmetric,0.42377325476513317
4,0.1,0.01,0.43526907763642625
4,0.1,0.1,0.4296495020368146
4,0.1,1,0.43625769574127965
4,0.1,symmetric,0.4354202744331962
4,1,0.01,0.3757952963225178
4,1,0.1,0.38742811972976277
4,1,1,0.3877219322551544
4,1,symmetric,0.38637079507705363
4,symmetric,0.01,0.41931433808338536
4,symmetric,0.1,0.41327848535234557
4,symmetric,1,0.41489315263186644
4,symmetric,symmetric,0.41492631914974665
4,asymmetric,0.01,0.34167542499648684
4,asymmetric,0.1,0.3451214053903254
4,asymmetric,1,0.377687201879682
4,asymmetric,symmetric,0.35790810303391
5,0.01,0.01,0.3948797319731573
5,0.01,0.1,0.3895858931085461
5,0.01,1,0.42077562500397353
5,0.01,symmetric,0.4218792528382673
5,0.1,0.01,0.392277256636425
5,0.1,0.1,0.383757696403377
5,0.1,1,0.3909442047458252
5,0.1,symmetric,0.39828064001437014
5,1,0.01,0.37402059849569674
5,1,0.1,0.3614582385985679
5,1,1,0.3762886461915597
5,1,symmetric,0.3592888003579469
5,symmetric,0.01,0.3947320283008958
5,symmetric,0.1,0.38824930191190576
5,symmetric,1,0.4249093961261351
5,symmetric,symmetric,0.40092551411843125
5,asymmetric,0.01,0.3587504813529853
5,asymmetric,0.1,0.3549090710493652
5,asymmetric,1,0.4293693009042494
5,asymmetric,symmetric,0.38315786251715966
6,0.01,0.01,0.4115549283836992
6,0.01,0.1,0.40780526600287015
6,0.01,1,0.41715522977080477
6,0.01,symmetric,0.4125417214342412
6,0.1,0.01,0.39762864704138984
6,0.1,0.1,0.3960944876946549
6,0.1,1,0.38843496222715895
6,0.1,symmetric,0.39782678403556454
6,1,0.01,0.37528840538524805
6,1,0.1,0.37558109367102266
6,1,1,0.3854422042349814
6,1,symmetric,0.3809326930591079
6,symmetric,0.01,0.3884935941536365
6,symmetric,0.1,0.4168261362070429
6,symmetric,1,0.40592926066905305
6,symmetric,symmetric,0.39018058100598085
6,asymmetric,0.01,0.40927626597298244
6,asymmetric,0.1,0.4080848734952554
6,asymmetric,1,0.42689575698555854
6,asymmetric,symmetric,0.40324021534926274
7,0.01,0.01,0.4031253277399246
7,0.01,0.1,0.3976114345202532
7,0.01,1,0.43827469882309134
7,0.01,symmetric,0.39886241265246697
7,0.1,0.01,0.3789340684064421
7,0.1,0.1,0.3693125106432862
7,0.1,1,0.43785611136162317
7,0.1,symmetric,0.3700830625241985
7,1,0.01,0.3651165639356598
7,1,0.1,0.3814102427420609
7,1,1,0.3720475140166384
7,1,symmetric,0.37396087051685806
7,symmetric,0.01,0.3777582603971227
7,symmetric,0.1,0.37291886658261125
7,symmetric,1,0.4330305368861148
7,symmetric,symmetric,0.3746650408417454
7,asymmetric,0.01,0.3520250014133487
7,asymmetric,0.1,0.35559936646250634
7,asymmetric,1,0.38860544583834244
7,asymmetric,symmetric,0.3413182104340171
8,0.01,0.01,0.4036042881862164
8,0.01,0.1,0.41590593668799947
8,0.01,1,0.4387170695823317
8,0.01,symmetric,0.4061583495889106
8,0.1,0.01,0.39342692996427564
8,0.1,0.1,0.40638690301074043
8,0.1,1,0.4338392969235551
8,0.1,symmetric,0.4126662914807746
8,1,0.01,0.32547223253360635
8,1,0.1,0.3391922055360571
8,1,1,0.3669027480985151
8,1,symmetric,0.35930541798308846
8,symmetric,0.01,0.3980613517649089
8,symmetric,0.1,0.39339647798762234
8,symmetric,1,0.4178857408086031
8,symmetric,symmetric,0.39379105951650617
8,asymmetric,0.01,0.377071737697804
8,asymmetric,0.1,0.37559534401904227
8,asymmetric,1,0.40864280804724773
8,asymmetric,symmetric,0.384853565317008
9,0.01,0.01,0.38863224481434644
9,0.01,0.1,0.406649997044568
9,0.01,1,0.430657501082179
9,0.01,symmetric,0.4019399283876577
9,0.1,0.01,0.38958972050080176
9,0.1,0.1,0.38693640537703233
9,0.1,1,0.44381602928352176
9,0.1,symmetric,0.39279235723334
9,1,0.01,0.34305064153309406
9,1,0.1,0.3711447122652427
9,1,1,0.3766029717446926
9,1,symmetric,0.3641936953579261
9,symmetric,0.01,0.386764931293307
9,symmetric,0.1,0.3897022005329695
9,symmetric,1,0.4088477184894914
9,symmetric,symmetric,0.3882288537874841
9,asymmetric,0.01,0.37907674260331387
9,asymmetric,0.1,0.3875513516766391
