link,Breakfast and Brunch,Dinners,Lunch,title,ratings,num_reviews,ingredients,servings,cook_time,calorie,fat_g,carb_g,protein_g,cholesterol_mg,sodium_mg
https://www.allrecipes.com/recipe/100164/chip-truck-fries/,0,0,1,chip-truck-fries,4.4375,44 reviews,"['6 baking potatoes, cut into 1/4 inch slices', '1/4 cup vegetable oil', '2 teaspoons seasoned salt']",4.0,1 h,369 calories;,14.0,56.3,6.5,0,478.0
https://www.allrecipes.com/recipe/100378/irish-bacon-and-cabbage-soup/,0,0,1,irish-bacon-and-cabbage-soup,4.536945819854741,163 reviews,"['1/2 pound Irish bacon, diced', '2 large potatoes, peeled and cubed', '1 (15 ounce) can diced tomatoes with juice', '1 cup chicken stock, or as needed', 'Salt and black pepper to taste', '2 cups thinly sliced dark green Savoy cabbage leaves']",4.0,45 m,276 calories;,8.1,38.4,12.3,21,825.0
https://www.allrecipes.com/recipe/100402/quick-salmon-salad/,0,0,1,quick-salmon-salad,4.49180316925049,52 reviews,"['2 (6 ounce) cans pink salmon, drained', '1/2 cup finely sliced green onions', '1/2 cup finely chopped celery', '1/4 cup mayonnaise', '3/4 teaspoon lemon juice', '3/4 teaspoon dried dill', '3/4 teaspoon seasoned salt']",4.0,15 m,248 calories;,17.2,2.2,20.4,43,571.0
https://www.allrecipes.com/recipe/100546/japanese-tofu-salad/,0,0,1,japanese-tofu-salad,,,[],,,,,,,,
https://www.allrecipes.com/recipe/100593/chicken-noodle-salad-with-peanut-ginger-dressing/,0,0,1,chicken-noodle-salad-with-peanut-ginger-dressing,,,[],,,,,,,,
https://www.allrecipes.com/recipe/100612/cheddar-baby-leek-and-tomato-sandwich/,0,0,1,cheddar-baby-leek-and-tomato-sandwich,,,[],,,,,,,,
https://www.allrecipes.com/recipe/102242/bills-seasoned-ketchup/,0,0,1,bills-seasoned-ketchup,4.65217399597168,22 reviews,"['1 (28 ounce) bottle ketchup', '2 teaspoons hot pepper sauce', '1 tablespoon cayenne pepper, or to taste', '1 tablespoon dried onion granules', '2 teaspoons granulated garlic', '2 teaspoons chili powder']",45.0,10 m,19 calories;,0.1,4.7,0.4,0,201.0
https://www.allrecipes.com/recipe/103737/celery-salad/,0,0,1,celery-salad,4.59223318099976,83 reviews,"['3/4 cup sliced celery', '1/3 cup dried sweet cherries', '1/3 cup frozen green peas, thawed', '3 tablespoons chopped fresh parsley', '1 tablespoon chopped pecans, toasted', '1 1/2 tablespoons fat-free mayonnaise', '1 1/2 tablespoons plain low-fat yogurt', '1 1/2 teaspoons fresh lemon juice', '1/8 teaspoon salt', '1/8 teaspoon ground black pepper']",2.0,40 m,150 calories;,3.0,26.5,4.1,< 1,304.0
https://www.allrecipes.com/recipe/103767/jens-heavenly-egg-salad/,0,0,1,jens-heavenly-egg-salad,4.472350120544429,307 reviews,"['6 eggs', '1/4 cup mayonnaise', '1 teaspoon Dijon mustard', '1/2 teaspoon prepared yellow mustard', '1/2 lemon, juiced', '1/4 cup chopped green onions', 'salt and pepper to taste']",4.0,21 m,212 calories;,18.4,3.2,9.9,284,223.0
https://www.allrecipes.com/recipe/104850/black-bean-and-corn-quesadillas/,0,0,1,black-bean-and-corn-quesadillas,4.62407970428467,1k reviews,"['2 teaspoons olive oil', '3 tablespoons finely chopped onion', '1 (15.5 ounce) can black beans, drained and rinsed', '1 (10 ounce) can whole kernel corn, drained', '1 tablespoon brown sugar', '1/4 cup salsa', '1/4 teaspoon red pepper flakes', '2 tablespoons butter, divided', '8 (8 inch) flour tortillas', '1 1/2 cups shredded Monterey Jack cheese, divided']",8.0,40 m,363 calories;,14.5,45.6,13.9,26,732.0
