title,calorie,cook_time,servings,ratings,fat_g,protein_g,carb_g,fat_ratio,protein_ratio,carb_ratio,link
Baked Haddock,325.0,25,4.0,4.59,15.7,27.7,17.0,0.43,0.34,0.23000000000000004,https://www.allrecipes.com/recipe/100195/baked-haddock/
Beef Bulgogi,232.0,75,4.0,4.79,13.2,16.2,12.4,0.51,0.28,0.20999999999999996,https://www.allrecipes.com/recipe/100606/beef-bulgogi/
Apricot Brown Sugar Ham,801.0,120,15.0,4.72,56.2,56.1,14.4,0.63,0.28,0.08999999999999997,https://www.allrecipes.com/recipe/102159/apricot-brown-sugar-ham/
Taco Stuffed Shells,361.0,80,8.0,4.55,17.6,19.8,30.4,0.44,0.22,0.3400000000000001,https://www.allrecipes.com/recipe/103503/taco-stuffed-shells/
Blackened Tuna Steaks With Mango Salsa,458.0,235,4.0,4.85,24.7,42.1,18.3,0.49,0.37,0.14,https://www.allrecipes.com/recipe/103535/blackened-tuna-steaks-with-mango-salsa/
Grilled Halibut With Cilantro Garlic Butter,276.0,33,4.0,4.53,13.1,35.4,3.0,0.43,0.51,0.06000000000000005,https://www.allrecipes.com/recipe/103971/grilled-halibut-with-cilantro-garlic-butter/
Broiled Grouper Parmesan,430.0,16,4.0,4.67,24.9,48.1,1.4,0.52,0.45,0.02999999999999997,https://www.allrecipes.com/recipe/103991/broiled-grouper-parmesan/
Barbequed Steelhead Trout,285.0,20,6.0,4.58,16.2,28.8,4.3,0.51,0.4,0.08999999999999997,https://www.allrecipes.com/recipe/104621/barbequed-steelhead-trout/
Coconut Tilapia With Apricot Dipping Sauce,650.0,30,4.0,4.58,36.1,28.4,54.3,0.5,0.17,0.32999999999999996,https://www.allrecipes.com/recipe/104789/coconut-tilapia-with-apricot-dipping-sauce/
Lamb Tagine,423.0,645,4.0,4.67,20.5,35.8,23.6,0.44,0.34,0.22000000000000003,https://www.allrecipes.com/recipe/105044/lamb-tagine/
Kofta Kebabs,35.0,80,28.0,4.7,2.3,2.9,0.6,0.59,0.33,0.08000000000000002,https://www.allrecipes.com/recipe/106030/kofta-kebabs/
Grilled Beef Tenderloin With Herb Garlic Pepper Coating,364.0,85,13.0,4.89,27.3,26.5,1.9,0.68,0.29,0.02999999999999997,https://www.allrecipes.com/recipe/107086/grilled-beef-tenderloin-with-herb-garlic-pepper-coating/
Cedar Plank Grilled Salmon With Garlic Lemon And Dill,366.0,65,8.0,4.69,26.4,29.2,1.1,0.65,0.32,0.02999999999999997,https://www.allrecipes.com/recipe/107087/cedar-plank-grilled-salmon-with-garlic-lemon-and-dill/
Awesome Spicy Beef Kabobs Or Haitian Voodoo Sticks,327.0,152,4.0,4.74,21.6,29.3,2.5,0.59,0.36,0.050000000000000044,https://www.allrecipes.com/recipe/107915/awesome-spicy-beef-kabobs-or-haitian-voodoo-sticks/
Cedar Planked Salmon,678.0,35,6.0,4.84,45.8,61.3,1.7,0.61,0.36,0.030000000000000027,https://www.allrecipes.com/recipe/109297/cedar-planked-salmon/
Chipotle Shrimp Tacos,377.0,30,6.0,4.54,11.1,41.9,26.2,0.26,0.44,0.3,https://www.allrecipes.com/recipe/109777/chipotle-shrimp-tacos/
Jalapeno Steak,186.0,495,6.0,4.51,10.5,19.1,3.1,0.51,0.41,0.08000000000000002,https://www.allrecipes.com/recipe/109782/jalapeno-steak/
Melt In Your Mouth Broiled Salmon,531.0,45,4.0,4.54,39.7,36.4,4.0,0.67,0.27,0.05999999999999994,https://www.allrecipes.com/recipe/110447/melt-in-your-mouth-broiled-salmon/
Venison Bacon Burgers,481.0,60,6.0,4.8,23.7,39.2,25.4,0.44,0.33,0.23000000000000004,https://www.allrecipes.com/recipe/111933/venison-bacon-burgers/
Shrimp Linguine,517.0,0,8.0,4.6,24.6,32.5,42.6,0.43,0.25,0.32000000000000006,https://www.allrecipes.com/recipe/11671/shrimp-linguine/
Linguine With Scampi,701.0,35,4.0,4.53,37.5,30.4,63.0,0.48,0.17,0.35,https://www.allrecipes.com/recipe/11672/linguine-with-scampi/
Cajun Seafood Pasta,695.0,0,6.0,4.65,36.7,31.5,62.2,0.48,0.18,0.34,https://www.allrecipes.com/recipe/11688/cajun-seafood-pasta/
Alla Checca,610.0,140,4.0,4.54,30.7,15.5,69.4,0.45,0.1,0.45000000000000007,https://www.allrecipes.com/recipe/11692/alla-checca/
Puttanesca I,490.0,40,4.0,4.6,34.0,9.3,38.7,0.62,0.08,0.3,https://www.allrecipes.com/recipe/11693/puttanesca-i/
Mostaccioli With Spinach And Feta,301.0,30,6.0,4.58,13.8,12.5,34.1,0.41,0.17,0.42000000000000004,https://www.allrecipes.com/recipe/11727/mostaccioli-with-spinach-and-feta/
American Lasagna,664.0,115,8.0,4.68,29.5,50.9,48.3,0.4,0.31,0.29,https://www.allrecipes.com/recipe/11729/american-lasagna/
Baked Ziti I,578.0,55,10.0,4.7,25.3,27.9,58.4,0.39,0.19,0.42,https://www.allrecipes.com/recipe/11758/baked-ziti-i/
Hearty Vegetable Lasagna,462.0,100,12.0,4.67,19.5,23.2,49.6,0.38,0.2,0.42,https://www.allrecipes.com/recipe/11786/hearty-vegetable-lasagna/
Fra Diavolo Sauce With Pasta,335.0,60,8.0,4.59,8.9,18.7,46.3,0.24,0.22,0.54,https://www.allrecipes.com/recipe/11789/fra-diavolo-sauce-with-pasta/
German Spaetzle Dumplings,141.0,0,6.0,4.51,6.0,4.7,16.8,0.38,0.13,0.49,https://www.allrecipes.com/recipe/11793/german-spaetzle-dumplings/
Fettuccini With Mushroom Ham And Rose Sauce,478.0,30,8.0,4.62,24.8,11.9,53.2,0.47,0.1,0.43000000000000005,https://www.allrecipes.com/recipe/11800/fettuccini-with-mushroom-ham-and-rose-sauce/
Creamy Pesto Shrimp,646.0,30,8.0,4.6,42.5,23.1,43.0,0.59,0.14,0.27,https://www.allrecipes.com/recipe/11808/creamy-pesto-shrimp/
Linguine With Seafood And Sundried Tomatoes,530.0,0,8.0,4.59,27.3,27.2,44.9,0.46,0.21,0.33000000000000007,https://www.allrecipes.com/recipe/11814/linguine-with-seafood-and-sundried-tomatoes/
Penne With Spicy Vodka Tomato Cream Sauce,435.0,25,8.0,4.66,18.4,13.3,52.7,0.38,0.12,0.5,https://www.allrecipes.com/recipe/11815/penne-with-spicy-vodka-tomato-cream-sauce/
Stuffed Shells I,557.0,50,8.0,4.64,18.2,37.0,59.6,0.29,0.27,0.43999999999999995,https://www.allrecipes.com/recipe/11836/stuffed-shells-i/
Penne And Vodka Sauce,795.0,25,4.0,4.62,35.2,23.9,87.9,0.4,0.12,0.48,https://www.allrecipes.com/recipe/11892/penne-and-vodka-sauce/
Spinach Lasagna Ii,346.0,0,8.0,4.55,13.8,24.7,32.7,0.36,0.29,0.35000000000000003,https://www.allrecipes.com/recipe/11900/spinach-lasagna-ii/
Veggie Lasagna Florentine,375.0,105,12.0,4.55,11.2,25.1,47.3,0.27,0.27,0.45999999999999996,https://www.allrecipes.com/recipe/11964/veggie-lasagna-florentine/
Easy Lasagna Ii,377.0,85,12.0,4.62,16.7,29.4,26.4,0.4,0.31,0.29,https://www.allrecipes.com/recipe/12011/easy-lasagna-ii/
Three Cheese Baked Pasta,463.0,80,12.0,4.62,22.2,22.7,42.3,0.43,0.2,0.37000000000000005,https://www.allrecipes.com/recipe/12073/three-cheese-baked-pasta/
